# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 93, mean observations per image: 0
1 0.446355089 0.483803066 0.555323235 -0.508249773 -1.954796 1.130358 10.300887 1 1.png

5 0.563930082 0.610468934 0.407573494 -0.378410347 1.790753 1.124652 11.434405 5 5.png

7 0.665563298 0.735907562 0.093070430 -0.082483044 1.131267 1.276227 7.355552 7 7.png

8 0.705242252 0.708959267 -0.001643375 0.002724417 1.039515 0.795012 7.268078 8 8.png

11 0.505707257 0.258033477 -0.807018767 -0.162479550 -1.611335 -0.646444 12.658038 11 11.png

13 0.547614458 0.123948913 -0.823340923 -0.082854069 -0.277878 -0.662588 11.251361 13 13.png

20 0.570567016 -0.129045663 -0.806292769 0.087706721 0.091403 0.790313 11.142506 20 20.png

21 0.571706631 -0.144837271 -0.801774339 0.096600219 -0.106457 -1.097726 11.862902 21 21.png

25 0.218089513 0.782497932 -0.440394525 -0.382343579 -2.516535 1.365779 9.783604 25 25.png

27 0.238478165 0.760591524 -0.438595065 -0.415045862 -0.894450 -0.815025 8.818847 27 27.png

30 0.611958666 0.786691243 0.064439313 -0.049709696 -2.129236 1.783005 8.375185 30 30.png

33 0.067425399 0.705774557 0.698735028 -0.095422487 -0.029804 -0.373529 4.386783 33 33.png

36 -0.131975284 0.786646486 0.177418498 -0.576448182 0.323621 0.226704 11.612637 36 36.png

38 -0.225982041 0.777565702 0.432008252 -0.397105233 -2.120989 -1.243892 9.850789 38 38.png

39 -0.240961214 0.762612831 0.424217917 -0.424733473 -0.702886 0.892623 8.878234 39 39.png

44 -0.311766270 0.641460804 0.628892406 -0.309554796 -1.261182 1.243346 8.196007 44 44.png

45 -0.460560778 0.402018804 0.754423455 -0.238976779 -0.417628 -1.001971 8.936787 45 45.png

47 0.500190544 -0.338571910 -0.767575593 0.214490535 -0.624806 0.086253 10.669233 47 47.png

51 0.355936070 0.609902258 -0.609240770 -0.360769226 -0.236144 -1.510582 8.125950 51 51.png

52 -0.393694006 -0.441633195 0.774569402 0.223623327 -1.568778 0.406458 8.954006 52 52.png

58 0.555693114 0.691430859 -0.356029339 0.293890524 -1.170652 1.412463 11.545712 58 58.png

64 -0.345001833 0.632816367 0.586059253 -0.370204988 -0.293397 -0.551868 8.213372 64 64.png

69 -0.441404719 0.458307550 0.721015449 -0.274322414 -0.692155 1.557878 9.551676 69 69.png

74 0.143258510 0.781299461 -0.193039138 -0.576006981 0.349348 -0.077251 11.728028 74 74.png

76 -0.023537338 0.998758173 0.002997514 0.043807763 -0.195895 -0.009889 4.199543 76 76.png

77 -0.110335342 -0.690070542 0.693831620 -0.173857534 -0.007837 0.113430 4.557630 77 77.png

84 -0.012307278 0.818456548 0.019589328 -0.574102489 0.243760 -0.971267 10.463406 84 84.png

87 0.001186071 0.822009854 -0.003548691 -0.569460974 0.107333 1.008949 10.495988 87 87.png

