# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 18
1 1.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1 1.png

2 0.010995389 0.212565059 -0.042460828 0.976162013 -1.014844951 0.329860650 0.620866965 2 2.png

3 0.886248586 -0.458610533 0.064396591 -0.009638540 -0.658069985 -2.434627813 2.050024418 3 3.png

4 0.889238653 -0.439726180 -0.109949496 -0.061697753 0.691674543 -2.387838102 2.229789208 4 4.png

5 -0.697200345 0.714093744 -0.055559962 0.029914767 0.089169564 -2.900854122 3.890045086 5 5.png

6 -0.132296127 -0.058103974 0.726597960 -0.671697154 -0.139364382 2.945634050 4.280385756 6 6.png

7 -0.373825760 0.924812129 -0.064170051 -0.029309248 0.154739688 -1.880677478 5.486131729 7 7.png

8 -0.265616135 -0.072651625 0.902218660 -0.331920623 1.499467099 1.766781136 5.447613154 8 8.png

9 0.011780251 0.992513618 -0.001433791 0.121556111 -0.781147584 0.279005246 6.027696996 9 9.png

10 -0.288703306 0.040376654 0.955435375 0.046512059 1.800460705 -0.402372662 5.909852728 10 10.png

11 0.393613285 0.919102988 0.017704697 0.002196315 -0.233430007 2.425373317 5.374537477 11 11.png

12 -0.242435742 0.056724207 0.875317828 0.414518969 1.182689392 -2.359259962 5.195814018 12 12.png

13 0.703105558 0.709466302 0.010964459 0.046689627 -0.144686006 2.994162885 3.059709424 13 13.png

14 -0.131031799 0.087684064 0.663252036 0.731600239 -0.353564393 -2.969777960 3.115361236 14 14.png

15 0.003916940 -0.055196889 0.315060240 0.947457126 0.694796778 -1.696256961 0.551839990 15 15.png

16 -0.066982920 0.147762387 0.303567116 0.938896465 -0.794339589 -1.625835907 0.889208379 16 16.png

17 -0.047363886 -0.062458997 0.312664568 0.946623687 0.070069446 -1.670330635 0.515173240 17 17.png

18 -0.015805160 -0.106154475 -0.472662868 0.874683507 -0.001634735 2.672151323 2.165173537 18 18.png

